"id"	"topTitle"	"name"	"key"
"1"	"match"	"热门"	"hotgoods"
"2"	"match"	"耳机音响"	"headset"
"3"	"match"	"电源"	"power"
"4"	"match"	"电池存储卡"	"battery"
"5"	"accessories"	"热门"	"hot"
"6"	"accessories"	"保护套"	"protect"
"7"	"accessories"	"贴膜"	"fiol"
"8"	"accessories"	"其它配件"	"other"
"9"	"around"	"热门"	"hotcloths"
"10"	"around"	"服装"	"clothes"
"11"	"around"	"米兔"	"rabbit"
"12"	"around"	"生活周边"	"around"
"13"	"around"	"箱包"	"bags"
